[2026-05-20 10:49:03] PROCESS: PID: PPID: NLWP: CPU:% MEM:% RSS:0.0MB STAT: ELAPSED: DISK_USED:1%
[2026-05-20 10:49:04] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:4.6% MEM:0.1% RSS:21.1MB STAT:SN ELAPSED:00:01 DISK_USED:1%
[2026-05-20 10:49:05] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:3.2% MEM:0.2% RSS:46.1MB STAT:SN ELAPSED:00:02 DISK_USED:1%
[2026-05-20 10:49:06] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:2.1% MEM:0.2% RSS:46.1MB STAT:SN ELAPSED:00:03 DISK_USED:1%
[2026-05-20 10:49:07] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.6% MEM:0.2% RSS:46.1MB STAT:SN ELAPSED:00:04 DISK_USED:1%
[2026-05-20 10:49:09] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.8% MEM:0.4% RSS:71.1MB STAT:SN ELAPSED:00:05 DISK_USED:1%
[2026-05-20 10:49:10] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.5% MEM:0.4% RSS:71.1MB STAT:SN ELAPSED:00:06 DISK_USED:1%
[2026-05-20 10:49:11] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.3% MEM:0.4% RSS:71.1MB STAT:SN ELAPSED:00:07 DISK_USED:1%
[2026-05-20 10:49:12] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.3% MEM:0.5% RSS:96.1MB STAT:SN ELAPSED:00:08 DISK_USED:1%
[2026-05-20 10:49:13] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.2% MEM:0.5% RSS:96.1MB STAT:SN ELAPSED:00:09 DISK_USED:1%
[2026-05-20 10:49:14] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.1% MEM:0.5% RSS:96.1MB STAT:SN ELAPSED:00:10 DISK_USED:1%
[2026-05-20 10:49:15] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.2% MEM:0.7% RSS:121.1MB STAT:SN ELAPSED:00:11 DISK_USED:1%
[2026-05-20 10:49:16] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.1% MEM:0.7% RSS:121.1MB STAT:SN ELAPSED:00:13 DISK_USED:1%
[2026-05-20 10:49:17] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.0% MEM:0.7% RSS:121.1MB STAT:SN ELAPSED:00:14 DISK_USED:1%
[2026-05-20 10:49:18] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.1% MEM:0.9% RSS:146.1MB STAT:SN ELAPSED:00:15 DISK_USED:1%
[2026-05-20 10:49:19] PROCESS:agent-app-leak PID:533 PPID:496 NLWP:1 CPU:1.1% MEM:0.9% RSS:146.1MB STAT:SN ELAPSED:00:16 DISK_USED:1%
